tweet,label
Gooood morning twitterville!!  happy wednesday!..almost the weekend.,positive
brought a thin cardi for work today when it's freezing cold in the office ,negative
ouch. so tired. massive headache. Monday again. ,negative
Is still feeling poorly!!! ,negative
Off to Barnes and Noble! Hoping to sign someone up for Mary Kay! ,positive
I'm thinking Beya. Ill know when I see her. ,positive
"needs to go shopping, guess everyone will want a BBQ today!  http://plurk.com/p/x5ozm",positive
"Blahh. Stupid ass! I'm tired of him, and Imma bout to BLASTTTTT! Atleast I have Sarah here to make it all better. ",positive
i love the movie taken ,positive
not a lonely day after all. ,positive
"I wanna go get my cd already, but no one can take me  this is why i woke up early! Grr..",negative
@LindzLauren Oh! That sucks! Sorry ,negative
I need words of encouragement ,negative
writing my 50 things list ,positive
@TickleMeJoey  Your even more amazing  The new cd sounds savage  savage is a good word used in Ireland :L Love you xxx,positive
@Benjimonicus thanks for that ,negative
@lancejssc I can test that for you ,positive
lame...txt me. ill be waiting. cant sleep. ,negative
@oiram16 that i shall sir ,positive
Oh--- I almost forgot! A month from today (July 15th) is my 22nd Birthday ,positive
@atrak oh yum! I love fresh sugar cane. Used to carry it around in my pocket and chew it ,positive
Calling it a night once I get my scanner to work with #Windows 7.  It has taken me 2 hours to scan 6 pages via the feeder ,negative
"searched kwanzoo on bing.com, www.kwanzoo.com shows up as 3rd entry, first entry : kwanzaa ",positive
is gutted my M.AC myth Lipstick broke after 1 use ,negative
Trying to keep my keys open. I'm sooo sleepy. And I have another sinus headache to boot! ,negative
The upside of the insomnia+no internet scenario is I'm almost fisnished BSG season 2 finally. Downside of that is ep 10 made me cry a lot ,negative
"@LPODDAYUNGEN hey! That's awesome, we actually at the moment don't have any dates set but we should be going there sometime ",positive
Don't you hate it when you go to bed.. fall asleep for an hour or two.. and then wake up and can't get back to sleep? ,negative
"already packing stuff for london, i miss you ",negative
@truphoneDBA agreed  fingers crossed!,negative
"@greggarbo http://twitpic.com/6slah - haha. I was like, uh...Garbo. I'm not seeing Nick or Joe...then I got it. ",positive
